GO,n_genes,TERM,contrast,term_label
GO:0000448,2,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",thin_vs_early,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000492,2,box C/D snoRNP assembly,thin_vs_early,box C/D snoRNP assembly
GO:0000710,2,meiotic mismatch repair,thin_vs_early,meiotic mismatch repair
GO:0000712,2,resolution of meiotic recombination intermediates,thin_vs_early,resolution of meiotic recombination intermediates
GO:0000749,2,response to pheromone triggering conjugation with cellular fusion,thin_vs_early,response to pheromone triggering conjugation with cellular fusion
GO:0000921,2,septin ring assembly,thin_vs_early,septin ring assembly
GO:0000956,2,nuclear-transcribed mRNA catabolic process,thin_vs_early,nuclear-transcribed mRNA catabolic process
GO:0001402,2,signal transduction involved in filamentous growth,thin_vs_early,signal transduction involved in filamentous growth
GO:0005980,2,glycogen catabolic process,thin_vs_early,glycogen catabolic process
GO:0006000,2,fructose metabolic process,thin_vs_early,fructose metabolic process
GO:0006001,2,fructose catabolic process,thin_vs_early,fructose catabolic process
GO:0006002,2,fructose 6-phosphate metabolic process,thin_vs_early,fructose 6-phosphate metabolic process
GO:0006031,2,chitin biosynthetic process,thin_vs_early,chitin biosynthetic process
GO:0006066,2,alcohol metabolic process,thin_vs_early,alcohol metabolic process
GO:0006089,2,lactate metabolic process,thin_vs_early,lactate metabolic process
GO:0006102,2,isocitrate metabolic process,thin_vs_early,isocitrate metabolic process
GO:0006103,2,2-oxoglutarate metabolic process,thin_vs_early,2-oxoglutarate metabolic process
GO:0006108,2,malate metabolic process,thin_vs_early,malate metabolic process
GO:0006121,2,"mitochondrial electron transport, succinate to ubiquinone",thin_vs_early,"mitochondrial electron transport, succinate to ubiquinone"
GO:0006164,2,purine nucleotide biosynthetic process,thin_vs_early,purine nucleotide biosynthetic process
GO:0006166,2,purine ribonucleoside salvage,thin_vs_early,purine ribonucleoside salvage
GO:0006207,2,'de novo' pyrimidine nucleobase biosynthetic process,thin_vs_early,'de novo' pyrimidine nucleobase biosynthetic process
GO:0006221,2,pyrimidine nucleotide biosynthetic process,thin_vs_early,pyrimidine nucleotide biosynthetic process
GO:0006270,2,DNA replication initiation,thin_vs_early,DNA replication initiation
GO:0006279,2,premeiotic DNA replication,thin_vs_early,premeiotic DNA replication
GO:0006289,2,nucleotide-excision repair,thin_vs_early,nucleotide-excision repair
GO:0006301,2,postreplication repair,thin_vs_early,postreplication repair
GO:0006303,2,double-strand break repair via nonhomologous end joining,thin_vs_early,double-strand break repair via nonhomologous end joining
GO:0006352,2,DNA-templated transcription initiation,thin_vs_early,DNA-templated transcription initiation
GO:0006362,2,transcription elongation by RNA polymerase I,thin_vs_early,transcription elongation by RNA polymerase I
GO:0006400,2,tRNA modification,thin_vs_early,tRNA modification
GO:0006401,2,RNA catabolic process,thin_vs_early,RNA catabolic process
GO:0006402,2,mRNA catabolic process,thin_vs_early,mRNA catabolic process
GO:0006417,2,regulation of translation,thin_vs_early,regulation of translation
GO:0006487,2,protein N-linked glycosylation,thin_vs_early,protein N-linked glycosylation
GO:0006537,2,glutamate biosynthetic process,thin_vs_early,glutamate biosynthetic process
GO:0006540,2,gamma-aminobutyrate shunt,thin_vs_early,gamma-aminobutyrate shunt
GO:0006555,2,methionine metabolic process,thin_vs_early,methionine metabolic process
GO:0006566,2,threonine metabolic process,thin_vs_early,threonine metabolic process
GO:0006567,2,L-threonine catabolic process,thin_vs_early,L-threonine catabolic process
GO:0006568,2,L-tryptophan metabolic process,thin_vs_early,L-tryptophan metabolic process
GO:0006598,2,polyamine catabolic process,thin_vs_early,polyamine catabolic process
GO:0006613,2,cotranslational protein targeting to membrane,thin_vs_early,cotranslational protein targeting to membrane
GO:0006620,2,post-translational protein targeting to endoplasmic reticulum membrane,thin_vs_early,post-translational protein targeting to endoplasmic reticulum membrane
GO:0006624,2,vacuolar protein processing,thin_vs_early,vacuolar protein processing
GO:0006636,2,unsaturated fatty acid biosynthetic process,thin_vs_early,unsaturated fatty acid biosynthetic process
GO:0006644,2,phospholipid metabolic process,thin_vs_early,phospholipid metabolic process
GO:0006730,2,one-carbon metabolic process,thin_vs_early,one-carbon metabolic process
GO:0006772,2,thiamine metabolic process,thin_vs_early,thiamine metabolic process
GO:0006783,2,heme biosynthetic process,thin_vs_early,heme biosynthetic process
GO:0006784,2,heme A biosynthetic process,thin_vs_early,heme A biosynthetic process
GO:0006796,2,phosphate-containing compound metabolic process,thin_vs_early,phosphate-containing compound metabolic process
GO:0006797,2,polyphosphate metabolic process,thin_vs_early,polyphosphate metabolic process
GO:0006828,2,manganese ion transport,thin_vs_early,manganese ion transport
GO:0006878,2,intracellular copper ion homeostasis,thin_vs_early,intracellular copper ion homeostasis
GO:0006896,2,Golgi to vacuole transport,thin_vs_early,Golgi to vacuole transport
GO:0006913,2,nucleocytoplasmic transport,thin_vs_early,nucleocytoplasmic transport
GO:0006950,2,response to stress,thin_vs_early,response to stress
GO:0007031,2,peroxisome organization,thin_vs_early,peroxisome organization
GO:0007034,2,vacuolar transport,thin_vs_early,vacuolar transport
GO:0007076,2,mitotic chromosome condensation,thin_vs_early,mitotic chromosome condensation
GO:0007127,2,meiosis I,thin_vs_early,meiosis I
GO:0007129,2,homologous chromosome pairing at meiosis,thin_vs_early,homologous chromosome pairing at meiosis
GO:0007265,2,Ras protein signal transduction,thin_vs_early,Ras protein signal transduction
GO:0008104,2,intracellular protein localization,thin_vs_early,intracellular protein localization
GO:0008204,2,ergosterol metabolic process,thin_vs_early,ergosterol metabolic process
GO:0008298,2,intracellular mRNA localization,thin_vs_early,intracellular mRNA localization
GO:0008360,2,regulation of cell shape,thin_vs_early,regulation of cell shape
GO:0008615,2,pyridoxine biosynthetic process,thin_vs_early,pyridoxine biosynthetic process
GO:0009073,2,aromatic amino acid family biosynthetic process,thin_vs_early,aromatic amino acid family biosynthetic process
GO:0009081,2,branched-chain amino acid metabolic process,thin_vs_early,branched-chain amino acid metabolic process
GO:0009088,2,threonine biosynthetic process,thin_vs_early,threonine biosynthetic process
GO:0009097,2,isoleucine biosynthetic process,thin_vs_early,isoleucine biosynthetic process
GO:0009099,2,L-valine biosynthetic process,thin_vs_early,L-valine biosynthetic process
GO:0009166,2,nucleotide catabolic process,thin_vs_early,nucleotide catabolic process
GO:0009220,2,pyrimidine ribonucleotide biosynthetic process,thin_vs_early,pyrimidine ribonucleotide biosynthetic process
GO:0009229,2,thiamine diphosphate biosynthetic process,thin_vs_early,thiamine diphosphate biosynthetic process
GO:0009272,2,fungal-type cell wall biogenesis,thin_vs_early,fungal-type cell wall biogenesis
GO:0009298,2,GDP-mannose biosynthetic process,thin_vs_early,GDP-mannose biosynthetic process
GO:0009408,2,response to heat,thin_vs_early,response to heat
GO:0009636,2,response to toxic substance,thin_vs_early,response to toxic substance
GO:0009651,2,response to salt stress,thin_vs_early,response to salt stress
GO:0010038,2,response to metal ion,thin_vs_early,response to metal ion
GO:0010142,2,"farnesyl diphosphate biosynthetic process, mevalonate pathway",thin_vs_early,"farnesyl diphosphate biosynthetic process, mevalonate pathway"
GO:0010458,2,exit from mitosis,thin_vs_early,exit from mitosis
GO:0010468,2,regulation of gene expression,thin_vs_early,regulation of gene expression
GO:0015786,2,UDP-glucose transmembrane transport,thin_vs_early,UDP-glucose transmembrane transport
GO:0015812,2,gamma-aminobutyric acid transport,thin_vs_early,gamma-aminobutyric acid transport
GO:0015813,2,L-glutamate transmembrane transport,thin_vs_early,L-glutamate transmembrane transport
GO:0015823,2,phenylalanine transport,thin_vs_early,phenylalanine transport
GO:0015826,2,threonine transport,thin_vs_early,threonine transport
GO:0015828,2,tyrosine transport,thin_vs_early,tyrosine transport
GO:0015847,2,putrescine transport,thin_vs_early,putrescine transport
GO:0015848,2,spermidine transport,thin_vs_early,spermidine transport
GO:0015888,2,thiamine transport,thin_vs_early,thiamine transport
GO:0015908,2,fatty acid transport,thin_vs_early,fatty acid transport
GO:0015937,2,coenzyme A biosynthetic process,thin_vs_early,coenzyme A biosynthetic process
GO:0015940,2,pantothenate biosynthetic process,thin_vs_early,pantothenate biosynthetic process
GO:0015976,2,carbon utilization,thin_vs_early,carbon utilization
GO:0015980,2,energy derivation by oxidation of organic compounds,thin_vs_early,energy derivation by oxidation of organic compounds
GO:0016051,2,carbohydrate biosynthetic process,thin_vs_early,carbohydrate biosynthetic process
GO:0016104,2,triterpenoid biosynthetic process,thin_vs_early,triterpenoid biosynthetic process
GO:0016242,2,negative regulation of macroautophagy,thin_vs_early,negative regulation of macroautophagy
GO:0019249,2,lactate biosynthetic process,thin_vs_early,lactate biosynthetic process
GO:0019346,2,transsulfuration,thin_vs_early,transsulfuration
GO:0019441,2,L-tryptophan catabolic process to kynurenine,thin_vs_early,L-tryptophan catabolic process to kynurenine
GO:0019442,2,L-tryptophan catabolic process to acetyl-CoA,thin_vs_early,L-tryptophan catabolic process to acetyl-CoA
GO:0019483,2,beta-alanine biosynthetic process,thin_vs_early,beta-alanine biosynthetic process
GO:0019493,2,L-arginine catabolic process to L-proline,thin_vs_early,L-arginine catabolic process to L-proline
GO:0019521,2,D-gluconate metabolic process,thin_vs_early,D-gluconate metabolic process
GO:0019568,2,arabinose catabolic process,thin_vs_early,arabinose catabolic process
GO:0019588,2,anaerobic glycerol catabolic process,thin_vs_early,anaerobic glycerol catabolic process
GO:0019594,2,mannitol metabolic process,thin_vs_early,mannitol metabolic process
GO:0019629,2,"propionate catabolic process, 2-methylcitrate cycle",thin_vs_early,"propionate catabolic process, 2-methylcitrate cycle"
GO:0022900,2,electron transport chain,thin_vs_early,electron transport chain
GO:0030003,2,intracellular monoatomic cation homeostasis,thin_vs_early,intracellular monoatomic cation homeostasis
GO:0030163,2,protein catabolic process,thin_vs_early,protein catabolic process
GO:0030388,2,"fructose 1,6-bisphosphate metabolic process",thin_vs_early,"fructose 1,6-bisphosphate metabolic process"
GO:0030466,2,silent mating-type cassette heterochromatin formation,thin_vs_early,silent mating-type cassette heterochromatin formation
GO:0030474,2,spindle pole body duplication,thin_vs_early,spindle pole body duplication
GO:0030490,2,maturation of SSU-rRNA,thin_vs_early,maturation of SSU-rRNA
GO:0031106,2,septin ring organization,thin_vs_early,septin ring organization
GO:0031145,2,anaphase-promoting complex-dependent catabolic process,thin_vs_early,anaphase-promoting complex-dependent catabolic process
GO:0031146,2,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,thin_vs_early,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
GO:0031509,2,subtelomeric heterochromatin formation,thin_vs_early,subtelomeric heterochromatin formation
GO:0031578,2,mitotic spindle orientation checkpoint signaling,thin_vs_early,mitotic spindle orientation checkpoint signaling
GO:0031930,2,mitochondria-nucleus signaling pathway,thin_vs_early,mitochondria-nucleus signaling pathway
GO:0032366,2,intracellular sterol transport,thin_vs_early,intracellular sterol transport
GO:0032386,2,regulation of intracellular transport,thin_vs_early,regulation of intracellular transport
GO:0032511,2,late endosome to vacuole transport via multivesicular body sorting pathway,thin_vs_early,late endosome to vacuole transport via multivesicular body sorting pathway
GO:0032787,2,monocarboxylic acid metabolic process,thin_vs_early,monocarboxylic acid metabolic process
GO:0032880,2,regulation of protein localization,thin_vs_early,regulation of protein localization
GO:0032968,2,positive regulation of transcription elongation by RNA polymerase II,thin_vs_early,positive regulation of transcription elongation by RNA polymerase II
GO:0032973,2,amino acid export across plasma membrane,thin_vs_early,amino acid export across plasma membrane
GO:0032974,2,amino acid transmembrane export from vacuole,thin_vs_early,amino acid transmembrane export from vacuole
GO:0033499,2,"galactose catabolic process via UDP-galactose, Leloir pathway",thin_vs_early,"galactose catabolic process via UDP-galactose, Leloir pathway"
GO:0033554,2,cellular response to stress,thin_vs_early,cellular response to stress
GO:0034079,2,butanediol biosynthetic process,thin_vs_early,butanediol biosynthetic process
GO:0034354,2,'de novo' NAD+ biosynthetic process from L-tryptophan,thin_vs_early,'de novo' NAD+ biosynthetic process from L-tryptophan
GO:0034355,2,NAD+ biosynthetic process via the salvage pathway,thin_vs_early,NAD+ biosynthetic process via the salvage pathway
GO:0034398,2,telomere tethering at nuclear periphery,thin_vs_early,telomere tethering at nuclear periphery
GO:0034497,2,protein localization to phagophore assembly site,thin_vs_early,protein localization to phagophore assembly site
GO:0034625,2,"fatty acid elongation, monounsaturated fatty acid",thin_vs_early,"fatty acid elongation, monounsaturated fatty acid"
GO:0034626,2,"fatty acid elongation, polyunsaturated fatty acid",thin_vs_early,"fatty acid elongation, polyunsaturated fatty acid"
GO:0034755,2,iron ion transmembrane transport,thin_vs_early,iron ion transmembrane transport
GO:0035672,2,oligopeptide transmembrane transport,thin_vs_early,oligopeptide transmembrane transport
GO:0035999,2,tetrahydrofolate interconversion,thin_vs_early,tetrahydrofolate interconversion
GO:0036197,2,zymosterol biosynthetic process,thin_vs_early,zymosterol biosynthetic process
